nodes,latitude,longitude,comment
geothermie_delft,51.99963603,4.369511688,
warmtenet1,51.99946819,4.368539431,
warmtenet2,52.00076801,4.367734683,
warmtenet3,52.00001674,4.364504274,
warmtenet4,51.998751,4.357796,
warmtenet5,51.997254,4.358429,
warmtenet6,51.996797,4.356165,
warmtenet7,51.99648,4.356302,
warmtenet8,51.996224,4.354993,
warmtenet9,51.996155,4.354445,
warmtenet10,51.996405,4.354305,
warmtenet11,51.996214,4.353239,
warmtenet12,51.995935,4.353338,
warmtenet13,51.999908,4.357129,
warmtenet14,51.999402,4.354487,
warmtenet15,51.999275,4.353306,
MV_LV_transformer1,51.99916056767448,4.359352338678263,
MV_LV_transformer2,51.99820932755333,4.357707402282422,
MV_LV_transformer3,51.99874843385327,4.355752671663142,
MV_LV_transformer4,51.997729985721925,4.356303935245154,
D0503100000018871,51.99721665721887,4.356155532425345,
D0503100000018872,51.99833367838223,4.356803602571172,
D0503100000018875,51.99741656496709,4.357986601855357,
D0503100000018878,51.99789516513913,4.3560885636183855,
D0503100000018977,51.99833866550741,4.359695834443502,
D0503100000018978,51.99807701480915,4.358666881208571,
D0503100000023386,51.99865784091027,4.3590153868809205,
D0503100000023496,51.99758379893986,4.359473803870614,
D0503100000023497,51.99756518275728,4.359380921836795,
D0503100000023500,51.99780075195111,4.359376965823143,
D0503100000031589,51.99754655510666,4.359287970243279,
D0503100000032956,51.9989778707703,4.3553044652089286,
D0503100000034482,51.99940459736789,4.358223345708998,
D0503100000036714,51.99956114148608,4.356924433635059,
LVEtransmission1,51.9977205,4.3563043,
LVEtransmission2,51.9968953,4.3557116,
LVEtransmission3,51.9995303,4.3590827,
LVEtransmission4,51.9994707,4.355256,
LVEtransmission5,51.9973926,4.3584284,
LVEtransmission6,51.9987296,4.3556717,
LVEtransmission7,51.9971215,4.3553625,
LVEtransmission8,51.9995145,4.3554533,
LVEtransmission9,51.9979857,4.3554252,
LVEtransmission10,51.9996854,4.3561854,
LVEtransmission11,51.9981194,4.3564572,
LVEtransmission12,51.9978075,4.3565232,
LVEtransmission13,51.9979829,4.3557712,
LVEtransmission14,51.998069,4.3557477,
LVEtransmission15,51.9994705,4.3552456,
LVEtransmission16,51.9984359,4.3593724,
LVEtransmission17,51.9988827,4.3576938,
LVEtransmission18,51.999193,4.355408,
LVEtransmission19,51.9996347,4.3554968,
LVEtransmission20,51.9984593,4.3593595,
LVEtransmission21,51.9973117,4.3556579,
LVEtransmission22,51.9973274,4.3563182,
LVEtransmission23,51.9993045,4.3555131,
LVEtransmission24,51.9996543,4.3560523,
LVEtransmission25,51.998154,4.3564418,
LVEtransmission26,51.9982217,4.3576954,
LVEtransmission27,51.9997689,4.3565362,
LVEtransmission28,51.9975159,4.3597943,
LVEtransmission29,51.9973279,4.3563164,
LVEtransmission30,51.9973947,4.3582401,
LVEtransmission31,51.9980089,4.3563636,
LVEtransmission32,51.9997294,4.3589647,
LVEtransmission33,51.9974349,4.3562515,
LVEtransmission34,51.9976813,4.3568351,
LVEtransmission35,51.9981541,4.3557231,
LVEtransmission36,51.9977826,4.3597302,
LVEtransmission37,51.9973397,4.3587053,
LVEtransmission38,51.9988966,4.3575543,
LVEtransmission39,51.9980966,4.3553945,
LVEtransmission40,51.9974805,4.3562328,
LVEtransmission41,51.9984432,4.3556321,
LVEtransmission42,51.9974769,4.3593834,
LVEtransmission43,51.9987266,4.3557616,
LVEtransmission44,51.998142,4.3558502,
LVEtransmission45,51.9976486,4.3597198,
LVEtransmission46,51.9994999,4.3553875,
LVEtransmission47,51.9979689,4.3565431,
LVEtransmission48,51.9985168,4.3577414,
LVEtransmission49,51.997741,4.3564339,
LVEtransmission50,51.9997321,4.356385,
LVEtransmission51,51.9981476,4.3560324,
LVEtransmission52,51.9991741,4.3557343,
LVEtransmission53,51.9986005,4.3574217,
LVEtransmission54,51.9996388,4.3559857,
LVEtransmission55,51.9973159,4.35566,
LVEtransmission56,51.999763,4.3565182,
