techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
geothermie_delft_to_warmtenet1,#823739,Heat transmission main,transmission,100000,1,20,geothermie_delft,warmtenet1
warmtenet1_to_warmtenet2,#823740,Heat transmission main,transmission,100000,1,20,warmtenet1,warmtenet2
warmtenet2_to_warmtenet3,#823741,Heat transmission main,transmission,100000,1,20,warmtenet2,warmtenet3
warmtenet3_to_warmtenet4,#823742,Heat transmission main,transmission,100000,1,20,warmtenet3,warmtenet4
warmtenet4_to_warmtenet5,#823743,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet5
warmtenet5_to_warmtenet6,#823744,Heat transmission main,transmission,100000,1,20,warmtenet5,warmtenet6
warmtenet6_to_warmtenet7,#823745,Heat transmission main,transmission,100000,1,20,warmtenet6,warmtenet7
warmtenet7_to_warmtenet8,#823746,Heat transmission main,transmission,100000,1,20,warmtenet7,warmtenet8
warmtenet8_to_warmtenet9,#823747,Heat transmission main,transmission,100000,1,20,warmtenet8,warmtenet9
warmtenet9_to_warmtenet10,#823748,Heat transmission main,transmission,100000,1,20,warmtenet9,warmtenet10
warmtenet10_to_warmtenet11,#823749,Heat transmission main,transmission,100000,1,20,warmtenet10,warmtenet11
warmtenet11_to_warmtenet12,#823750,Heat transmission main,transmission,100000,1,20,warmtenet11,warmtenet12
warmtenet4_to_warmtenet13,#823751,Heat transmission main,transmission,100000,1,20,warmtenet4,warmtenet13
warmtenet13_to_warmtenet14,#823752,Heat transmission main,transmission,100000,1,20,warmtenet13,warmtenet14
warmtenet14_to_warmtenet15,#823753,Heat transmission main,transmission,100000,1,20,warmtenet14,warmtenet15
LVEtransmission101_to_LVEtransmission1067_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1067,LVEtransmission101
LVEtransmission1067_to_LVEtransmission1069_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1069,LVEtransmission1067
LVEtransmission1069_to_LVEtransmission235_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission235,LVEtransmission1069
LVEtransmission235_to_LVEtransmission128_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission128,LVEtransmission235
LVEtransmission128_to_LVEtransmission462_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission462,LVEtransmission128
LVEtransmission462_to_LVEtransmission846_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission846,LVEtransmission462
LVEtransmission846_to_LVEtransmission364_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission364,LVEtransmission846
LVEtransmission364_to_LVEtransmission764_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission764,LVEtransmission364
LVEtransmission764_to_LVEtransmission633_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission633,LVEtransmission764
LVEtransmission633_to_LVEtransmission1092_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1092,LVEtransmission633
LVEtransmission1092_to_LVEtransmission940_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission940,LVEtransmission1092
LVEtransmission940_to_LVEtransmission856_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission856,LVEtransmission940
LVEtransmission856_to_LVEtransmission883_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission883,LVEtransmission856
LVEtransmission883_to_LVEtransmission861_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission861,LVEtransmission883
