nodes,latitude,longitude,comment
geothermie_delft,51.99963603,4.369511688,
warmtenet1,51.99946819,4.368539431,
warmtenet2,52.00076801,4.367734683,
warmtenet3,52.00001674,4.364504274,
warmtenet4,51.998751,4.357796,
warmtenet5,51.997254,4.358429,
warmtenet6,51.996797,4.356165,
warmtenet7,51.99648,4.356302,
warmtenet8,51.996224,4.354993,
warmtenet9,51.996155,4.354445,
warmtenet10,51.996405,4.354305,
warmtenet11,51.996214,4.353239,
warmtenet12,51.995935,4.353338,
warmtenet13,51.999908,4.357129,
warmtenet14,51.999402,4.354487,
warmtenet15,51.999275,4.353306,
MV_LV_transformer1,51.99916056767448,4.359352338678263,
MV_LV_transformer2,51.99820932755333,4.357707402282422,
MV_LV_transformer3,51.99874843385327,4.355752671663142,
MV_LV_transformer4,51.997729985721925,4.356303935245154,
D0503100000018871,51.99721665721887,4.356155532425345,
D0503100000018872,51.99833367838223,4.356803602571172,
D0503100000018875,51.99741656496709,4.357986601855357,
D0503100000018878,51.99789516513913,4.3560885636183855,
D0503100000018977,51.99833866550741,4.359695834443502,
D0503100000018978,51.99807701480915,4.358666881208571,
D0503100000023386,51.99865784091027,4.3590153868809205,
D0503100000023496,51.99758379893986,4.359473803870614,
D0503100000023497,51.99756518275728,4.359380921836795,
D0503100000023500,51.99780075195111,4.359376965823143,
D0503100000031589,51.99754655510666,4.359287970243279,
D0503100000032956,51.9989778707703,4.3553044652089286,
D0503100000034482,51.99940459736789,4.358223345708998,
D0503100000036714,51.99956114148608,4.356924433635059,
LVEtransmission1,51.999555,4.3555724,
LVEtransmission2,51.9986153,4.3549743,
LVEtransmission3,51.9988365,4.3595877,
LVEtransmission4,51.996685,4.3551455,
LVEtransmission5,51.9977461,4.355412,
LVEtransmission6,52.0001373,4.3578978,
LVEtransmission7,51.9982939,4.3577695,
LVEtransmission8,51.9982762,4.3552577,
LVEtransmission9,51.998733,4.3586421,
LVEtransmission10,51.9978632,4.3549227,
LVEtransmission11,51.9989768,4.3592998,
LVEtransmission12,51.9974499,4.3563243,
LVEtransmission13,51.9975281,4.3551736,
LVEtransmission14,51.9994097,4.3583245,
LVEtransmission15,51.9993528,4.3573225,
LVEtransmission16,51.9972115,4.3553274,
LVEtransmission17,51.9977063,4.3554239,
LVEtransmission18,51.9971852,4.355963,
LVEtransmission19,51.9968185,4.355793,
LVEtransmission20,51.9996236,4.3585154,
LVEtransmission21,51.9995213,4.3550963,
LVEtransmission22,51.9972782,4.3549209,
LVEtransmission23,51.9991946,4.3574817,
LVEtransmission24,51.9974566,4.357296,
LVEtransmission25,51.9970832,4.3572253,
LVEtransmission26,51.9969452,4.3560958,
LVEtransmission27,51.9995022,4.3549714,
LVEtransmission28,51.9999952,4.3573071,
LVEtransmission29,51.9986296,4.356106,
LVEtransmission30,51.9995251,4.3546364,
LVEtransmission31,51.9998186,4.3545658,
LVEtransmission32,51.9988011,4.3589735,
LVEtransmission33,51.9984403,4.3565097,
LVEtransmission34,51.9983139,4.3579769,
LVEtransmission35,51.9968605,4.3553214,
LVEtransmission36,51.9977341,4.3549592,
LVEtransmission37,51.9994532,4.3581266,
LVEtransmission38,51.9971466,4.3555288,
LVEtransmission39,51.9980374,4.3548741,
LVEtransmission40,51.9969749,4.3555331,
LVEtransmission41,51.9973583,4.3550744,
LVEtransmission42,51.999321,4.3554668,
LVEtransmission43,52.0001812,4.3583913,
LVEtransmission44,51.9990788,4.3575423,
LVEtransmission45,51.9975433,4.3550153,
LVEtransmission46,51.9981069,4.3602794,
LVEtransmission47,51.9999638,4.3585173,
LVEtransmission48,51.9967651,4.3556093,
LVEtransmission49,51.9976051,4.3596732,
LVEtransmission50,51.9972935,4.3576251,
LVEtransmission51,51.9995575,4.3553426,
LVEtransmission52,51.9974258,4.3553456,
LVEtransmission53,51.9968567,4.3556352,
LVEtransmission54,51.9982471,4.3572922,
LVEtransmission55,51.9981937,4.3580148,
LVEtransmission56,51.9995728,4.3582953,
