nodes,latitude,longitude,comment
geothermie_delft,51.99963603,4.369511688,
warmtenet1,51.99946819,4.368539431,
warmtenet2,52.00076801,4.367734683,
warmtenet3,52.00001674,4.364504274,
warmtenet4,51.998751,4.357796,
warmtenet5,51.997254,4.358429,
warmtenet6,51.996797,4.356165,
warmtenet7,51.99648,4.356302,
warmtenet8,51.996224,4.354993,
warmtenet9,51.996155,4.354445,
warmtenet10,51.996405,4.354305,
warmtenet11,51.996214,4.353239,
warmtenet12,51.995935,4.353338,
warmtenet13,51.999908,4.357129,
warmtenet14,51.999402,4.354487,
warmtenet15,51.999275,4.353306,
MV_LV_transformer1,51.99916056767448,4.359352338678263,
MV_LV_transformer2,51.99820932755333,4.357707402282422,
MV_LV_transformer3,51.99874843385327,4.355752671663142,
MV_LV_transformer4,51.997729985721925,4.356303935245154,
D0503100000018871,51.99721665721887,4.356155532425345,
D0503100000018872,51.99833367838223,4.356803602571172,
D0503100000018875,51.99741656496709,4.357986601855357,
D0503100000018878,51.99789516513913,4.3560885636183855,
D0503100000018977,51.99833866550741,4.359695834443502,
D0503100000018978,51.99807701480915,4.358666881208571,
D0503100000023386,51.99865784091027,4.3590153868809205,
D0503100000023496,51.99758379893986,4.359473803870614,
D0503100000023497,51.99756518275728,4.359380921836795,
D0503100000023500,51.99780075195111,4.359376965823143,
D0503100000031589,51.99754655510666,4.359287970243279,
D0503100000032956,51.9989778707703,4.3553044652089286,
D0503100000034482,51.99940459736789,4.358223345708998,
D0503100000036714,51.99956114148608,4.356924433635059,
LQHtransmission1,51.9977203,4.3596944,
LQHtransmission2,51.9984501,4.3569671,
LQHtransmission3,51.998691,4.355689,
LQHtransmission4,51.9984812,4.3568437,
LQHtransmission5,51.9986146,4.3576213,
LQHtransmission6,51.9986199,4.3575493,
LQHtransmission7,51.99989,4.3570209,
LQHtransmission8,51.998446,4.3588104,
LQHtransmission9,51.9984449,4.3566925,
LQHtransmission10,51.9996243,4.3571683,
LQHtransmission11,51.9986351,4.3576127,
LQHtransmission12,51.996902,4.3564802,
LQHtransmission13,51.9985405,4.3571327,
LQHtransmission14,51.9975065,4.355526,
LQHtransmission15,51.9969743,4.3556585,
LQHtransmission16,51.9984222,4.3579621,
LQHtransmission17,51.9969736,4.356832,
LQHtransmission18,51.9990622,4.3574739,
LQHtransmission19,51.9971179,4.3555809,
LQHtransmission20,51.998238,4.3569151,
LQHtransmission21,51.9988532,4.3575854,
LQHtransmission22,51.9997198,4.3571152,
LQHtransmission23,51.9992405,4.3575123,
LQHtransmission24,51.9974761,4.3583865,
LQHtransmission25,51.9980351,4.3565089,
LQHtransmission26,51.9993044,4.3549965,
LQHtransmission27,51.9972924,4.3563418,
LQHtransmission28,51.9987289,4.3556786,
LQHtransmission29,51.9987689,4.3576284,
LQHtransmission30,51.9986741,4.3577878,
LQHtransmission31,51.9982855,4.3573673,
LQHtransmission32,51.9968326,4.3560291,
LQHtransmission33,51.9984146,4.3585354,
LQHtransmission34,51.9984846,4.3592516,
LQHtransmission35,51.9988861,4.3551117,
LQHtransmission36,51.9975306,4.3556312,
LQHtransmission37,51.9985477,4.357439,
LQHtransmission38,51.9975818,4.358012,
LQHtransmission39,51.9976961,4.3579522,
LQHtransmission40,51.9984637,4.3589763,
LQHtransmission41,51.999103,4.3575885,
LQHtransmission42,51.9969067,4.355684,
LQHtransmission43,51.998279,4.3558695,
LQHtransmission44,51.997607,4.3554849,
LQHtransmission45,51.9975723,4.3558125,
LQHtransmission46,51.9971723,4.3555908,
LQHtransmission47,51.998941,4.3576775,
LQHtransmission48,51.9971301,4.3564396,
LQHtransmission49,51.9970305,4.3571142,
LQHtransmission50,51.9988007,4.3556584,
LQHtransmission51,51.9986354,4.3576222,
LQHtransmission52,51.9985685,4.3572687,
LQHtransmission53,51.997069,4.3573027,
LQHtransmission54,51.9985146,4.3570063,
LQHtransmission55,51.9981871,4.3558074,
LQHtransmission56,51.9998259,4.3570615,
LQHtransmission57,51.9984762,4.3592711,
